	id	author_id	book_name	book_url
0	0	1	Помню, я ещё младшенька была…	/wiki/%D0%9F%D0%BE%D0%BC%D0%BD%D1%8E,_%D1%8F_%D0%B5%D1%89%D1%91_%D0%BC%D0%BB%D0%B0%D0%B4%D1%88%D0%B5%D0%BD%D1%8C%D0%BA%D0%B0_%D0%B1%D1%8B%D0%BB%D0%B0
1	1	1	Ай вы, ветры, ветры буйные…	/wiki/%D0%90%D0%B9_%D0%B2%D1%8B,_%D0%B2%D0%B5%D1%82%D1%80%D1%8B,_%D0%B2%D0%B5%D1%82%D1%80%D1%8B_%D0%B1%D1%83%D0%B9%D0%BD%D1%8B%D0%B5
2	2	2	Ермак готовится к походу на Сибирь	/wiki/%D0%95%D1%80%D0%BC%D0%B0%D0%BA_%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%B8%D1%82%D1%81%D1%8F_%D0%BA_%D0%BF%D0%BE%D1%85%D0%BE%D0%B4%D1%83_%D0%BD%D0%B0_%D0%A1%D0%B8%D0%B1%D0%B8%D1%80%D1%8C
3	3	2	Пугачёв в темнице	/wiki/%D0%9F%D1%83%D0%B3%D0%B0%D1%87%D1%91%D0%B2_%D0%B2_%D1%82%D0%B5%D0%BC%D0%BD%D0%B8%D1%86%D0%B5
4	4	3	Два Ивана-солдатских сына	/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B5_%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D0%BA%D0%B0%D0%B7%D0%BA%D0%B8_(%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2)/%D0%94%D0%B2%D0%B0_%D0%98%D0%B2%D0%B0%D0%BD%D0%B0_%D1%81%D0%BE%D0%BB%D0%B4%D0%B0%D1%82%D1%81%D0%BA%D0%B8%D1%85_%D1%81%D1%8B%D0%BD%D0%B0
5	5	3	Финист-Ясный Сокол	/wiki/%D0%A4%D0%B8%D0%BD%D0%B8%D1%81%D1%82_%E2%80%94_%D0%AF%D1%81%D0%BD%D1%8B%D0%B9_%D0%A1%D0%BE%D0%BA%D0%BE%D0%BB
6	6	3	Царевна-лягушка	/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B5_%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D0%BA%D0%B0%D0%B7%D0%BA%D0%B8_(%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2)/%D0%A6%D0%B0%D1%80%D0%B5%D0%B2%D0%BD%D0%B0-%D0%BB%D1%8F%D0%B3%D1%83%D1%88%D0%BA%D0%B0
7	7	3	Марья Моревна	/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B5_%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D0%BA%D0%B0%D0%B7%D0%BA%D0%B8_(%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2)/%D0%9C%D0%B0%D1%80%D1%8C%D1%8F_%D0%9C%D0%BE%D1%80%D0%B5%D0%B2%D0%BD%D0%B0
8	8	3	Бой на Калиновом мосту	/wiki/%D0%91%D0%BE%D0%B9_%D0%BD%D0%B0_%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%BE%D0%B2%D0%BE%D0%BC_%D0%BC%D0%BE%D1%81%D1%82%D1%83
9	9	3	Каша из топора	/wiki/%D0%9A%D0%B0%D1%88%D0%B0_%D0%B8%D0%B7_%D1%82%D0%BE%D0%BF%D0%BE%D1%80%D0%B0
