	id	main_cat	add_cat	wiki_id	name	first0	first1	middle0	middle1	last0	last1
0	0	Русская литература	Фольклор		Устное народное творчество	0	0	0	0	0	0
1	1	Русская литература	Фольклор		Исторические песни	0	0	0	0	0	0
2	2	Русская литература	Фольклор	Q19972676	Русские народные сказки	0	0	0	0	0	0
3	3	Русская литература	Фольклор		Народный театр	0	0	0	0	0	0
4	4	Русская литература	Фольклор		Былины	0	0	0	0	Былина	0
5	5	Русская литература	Фольклор		Мифы древних славян	0	0	0	0	0	0
6	6	Русская литература	Литература XVIII века	Q58720	М. В. Ломоносов	М	0	В	0	Ломоносов	0
7	7	Русская литература	Литература XVIII века	Q270275	Г. Р. Державин	Г	0	Р	0	Державин	0
8	8	Русская литература	Литература XVIII века	Q315885	Д. И. Фонвизин	Д	0	И	0	Фонвизин	0
9	9	Русская литература	Литература XVIII века	Q217470	А. Н. Радищев	А	0	Н	0	Радищев	0
10	10	Русская литература	Литература XVIII века	Q191598	Н. М. Карамзин	Н	0	М	0	Карамзин	0
11	11	Русская литература	Литература XIX века	Q350423	И. А. Крылов	И	0	А	0	Крылов	0
12	12	Русская литература	Литература XIX века	Q2299317	Я. П. Полонский	Я	0	П	0	Полонский	0
13	13	Русская литература	Литература XIX века	Q157623	В. А. Жуковский	В	0	А	0	Жуковский	0
14	14	Русская литература	Литература XIX века	Q15001	А.С.Грибоедов	А	0	С	0	Грибоедов	0
15	15	Русская литература	Литература XIX века	Q444969	А.В.Кольцов	А	0	В	0	Кольцов	0
16	16	Русская литература	Литература XIX века	Q364252	Е.А.Боратынский	Е	0	А	0	Боратынский	0
17	17	Русская литература	Литература XIX века	Q49509	К.Ф.Рылеев	К	0	Ф	0	Рылеев	0
18	18	Русская литература	Литература XIX века	Q471718	К.Н.Батюшков	К	0	Н	0	Батюшковы	0
19	19	Русская литература	Литература XIX века	Q7200	А.С.Пушкин	А	0	С	0	Пушкин	0
20	20	Русская литература	Литература XIX века	Q46599	М.Ю.Лермонтов	М	0	Ю	0	Лермонтов	0
21	21	Русская литература	Литература XIX века		Поэты пушкинской поры	0	0	0	0	0	0
22	22	Русская литература	Литература XIX века	Q43718	Н.В.Гоголь	Н	0	В	0	Гоголь	0
23	23	Русская литература	Литература XIX века	Q171976	А. Н. Островский	А	0	Н	0	Островский	0
24	24	Русская литература	Литература XIX века	Q42831	И. С. Тургенев	И	0	С	0	Тургенев	0
25	25	Русская литература	Литература XIX века	Q37217	Ф.И.Тютчев	Ф	0	И	0	Тютчев	0
26	26	Русская литература	Литература XIX века	Q314212	А. А. Фет	А	0	А	0	Фет	0
27	27	Русская литература	Литература XIX века	Q2419891	А. Н. Майков	А	Майк	0	0	Н	0
28	28	Русская литература	Литература XIX века	Q7243	Л. Н. Толстой	Л	0	Н	0	Толстая	0
29	29	Русская литература	Литература XIX века	Q208003	Н. А. Некрасов	Н	0	А	0	Некрасов	0
30	30	Русская литература	Литература XIX века	Q552437	Н. М. Языков	Н	0	М	0	Язык	0
31	31	Русская литература	Литература XIX века	Q209004	Н. С. Лесков	Н	0	С	0	Лесок	0
32	32	Русская литература	Литература XIX века	Q192331	Н. Г. Чернышевский	Н	0	Г	0	Чернышевский	0
33	33	Русская литература	Литература XIX века	Q189665	И. А. Гончаров	И	0	А	0	Гончаров	0
34	34	Русская литература	Литература XIX века	Q1392686	И. С. Никитин	И	0	С	0	Никитин	0
35	35	Русская литература	Литература XIX века	Q192279	А. Н. Толстой	А	0	Н	0	Толстая	0
36	36	Русская литература	Литература XIX века	Q212575	А. К. Толстой	А	0	К	0	Толстой	0
37	37	Русская литература	Литература XIX века	Q211785	М. Е. Салтыков-Щедрин	М	0	Е	0	Салтык	Щедрин
38	38	Русская литература	Литература XIX века	Q991	Ф. М. Достоевский	Ф	0	М	0	Достоевский	0
39	39	Русская литература	Литература XIX века	Q335064	В. Г. Короленко	В	0	Г	0	Короленко	0
40	40	Русская литература	Литература XIX века	Q5685	А.П.Чехов	А	0	П	0	Чехов	0
41	41	Русская литература	Литература XIX века	Q333222	В.М.Гаршин	В	0	М	0	Гаршин	0
42	42	Русская литература	Литература XX века	Q46602	И.А.Бунин	И	0	А	0	Бунин	0
43	43	Русская литература	Литература XX века	Q314498	К.Д.Бальмонт	К	0	Д	0	Бальмонт	0
44	44	Русская литература	Литература XX века		И. Ф. Анненский	И	0	Ф	0	Анненский	0
45	45	Русская литература	Литература XX века		Н. С. Гумилёв	Н	Гумилёва	0	0	С	0
46	46	Русская литература	Литература XX века		Б. К. Зайцев	Б	0	К	0	Зайцев	0
47	47	Русская литература	Литература XX века		И.С.Шмелёв	И	Шмелёва	0	0	С	0
48	48	Русская литература	Литература XX века	Q368812	К.Г.Паустовский	К	0	Г	0	Паустовский	0
49	49	Русская литература	Литература XX века	Q707569	И.Северянин	И	0	0	0	Северянин	0
50	50	Русская литература	Литература XX века	Q1340503	А. М. Ремизов	А	0	М	0	Ремизов	0
51	51	Русская литература	Литература XX века	Q204868	Е.И.Замятин	Е	0	И	0	Замятин	0
52	52	Русская литература	Литература XX века	Q271457	А.И.Куприн	А	0	И	0	Куприн	0
53	53	Русская литература	Литература XX века	Q12706	М.Горький	М	0	0	0	Горький	0
54	54	Русская литература	Литература XX века		Поэзия конца XIX-начала XX вв.	0	0	0	0	0	0
55	55	Русская литература	Литература XX века	Q164765	А.А.Блок	А	0	А	0	Блок	0
56	56	Русская литература	Литература XX века	Q132964	В.В.Маяковский	В	0	В	0	Маяковский	0
57	57	Русская литература	Литература XX века	Q31628	С.А.Есенин	С	0	А	0	Есенин	0
58	58	Русская литература	Литература XX века	Q700323	Михаил Пришвин	Михаил	0	0	0	Пришвин	0
59	59	Русская литература	Литература XX века	Q310866	Леонид Андреев	Леонид	0	0	0	Андреев	0
60	60	Русская литература	Литература XX века		А. Серафимович	0	Серафимович	0	0	А	0
61	61	Русская литература	Литература XX века	Q1676046	Вс. Иванов	0	Иванов	0	0	Вс	0
62	62	Русская литература	Литература XX века	Q49080	Исаак Бабель	Исаак	0	0	0	Бабель	0
63	63	Русская литература	Литература XX века		А. Веселый	А	0	0	0	Весёлый	0
64	64	Русская литература	Литература XX века		Александр Фадеев	Александр	0	0	0	Фадеев	0
65	65	Русская литература	Литература XX века		Б. Пильняк	Б	0	0	0	Пильняк	0
66	66	Русская литература	Литература XX века		Б. Лавренев	Б	0	0	0	Лавреневый	0
67	67	Русская литература	Литература XX века	Q507381	Дмитрий Фурманов	Дмитрий	0	0	0	Фурманов	0
68	68	Русская литература	Литература XX века	Q685053	Викентий Вересаев	Викентий	0	0	0	Вересаев	0
69	69	Русская литература	Литература XX века	Q471443	Илья Ильф и Евгений Петров	0	0	0	0	0	0
70	70	Русская литература	Литература XX века	Q2171566	Надежда Тэффи	Надежда	0	0	0	0	0
71	71	Русская литература	Литература XX века	Q981171	Виталий Бианки	Виталий	Бианка	0	0	0	0
72	72	Русская литература	Литература XX века		А. А. Прокофьев	А	0	А	0	Прокофьев	0
73	73	Русская литература	Литература XX века		Н. И. Рыленков	Н	0	И	0	Рыленков	0
74	74	Русская литература	Литература XX века	Q515872	Николай Заболоцкий	Николай	0	0	0	Заболоцкий	0
75	75	Русская литература	Литература XX века	Q360507	Михаил Зощенко	Михаил	0	0	0	Зощенко	0
76	76	Русская литература	Литература XX века	Q602217	Аркадий Аверченко	Аркадий	0	0	0	Аверченко	0
77	77	Русская литература	Литература XX века	Q80440	Анна Ахматова	Анна	0	0	0	Ахматова	0
78	78	Русская литература	Литература XX века	Q188526	М. И. Цветаева	М	0	И	0	Цветаев	0
79	79	Русская литература	Литература XX века	Q189950	О. Э. Мандельштам	О	0	Э	0	Мандельштам	0
80	80	Русская литература	Литература XX века	Q315147	А. П. Платонов	А	0	П	0	Платонов	0
81	81	Русская литература	Литература XX века	Q213997	А. С. Грин	А	0	С	0	Грин	0
82	82	Русская литература	Литература XX века	Q835	М. А. Булгаков	М	0	А	0	Булгаков	0
83	83	Русская литература	Литература XX века	Q362828	А. Т. Твардовский	А	0	Т	0	Твардовский	0
84	84	Русская литература	Литература XX века	Q368455	Ю. Н. Тынянов	Ю	0	Н	0	Тыняновый	0
85	85	Русская литература	Литература XX века		А. Сурков	А	0	0	0	Сурков	0
86	86	Русская литература	Литература XX века	Q41223	Б. Л. Пастернак	Б	0	Л	0	Пастернак	0
87	87	Русская литература	Литература XX века		Н. Тихонов	Н	0	0	0	Тихон	0
88	88	Русская литература	Литература XX века	Q44695	К. М. Симонов	К	0	М	0	Симонов	0
89	89	Русская литература	Литература XX века	Q42398	М. А. Шолохов	М	0	А	0	Шолохов	0
90	90	Русская литература	Литература XX века	Q471664	Л. Леонов	Л	0	0	0	Леонов	0
91	91	Русская литература	Литература XX века	Q237518	О. Берггольц	О	0	0	0	Берггольц	0
92	92	Русская литература	Литература XX века		Е. Винокуров	Е	0	0	0	Винокур	0
93	93	Русская литература	Литература XX века	Q268111	Е. Шварц	Е	0	0	0	Шварц	0
94	94	Русская литература	Литература XX века	Q468277	Ф. А. Абрамов	Ф	0	А	0	Абрамов	0
