;Имя;Отчество;Фамилия;Название;PDF;Wiki;Ссылка
0;А.;С.;Пушкин;Евгений Онегин;1;1;ru.wikisource.org/wiki/%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%9E%D0%BD%D0%B5%D0%B3%D0%B8%D0%BD
1;А.;С.;Пушкин;Руслан и Людмила;1;1;ru.wikisource.org/wiki/%D0%A0%D1%83%D1%81%D0%BB%D0%B0%D0%BD_%D0%B8_%D0%9B%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0
2;А.;С.;Пушкин;Капитанская дочка;1;1;ru.wikisource.org/wiki/%D0%9A%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B4%D0%BE%D1%87%D0%BA%D0%B0
3;А.;С.;Пушкин;Борис Годунов;1;1;ru.wikisource.org/wiki/%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%93%D0%BE%D0%B4%D1%83%D0%BD%D0%BE%D0%B2_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
4;А.;С.;Пушкин;Барышня-крестьянка;0;1;ru.wikisource.org/wiki/%D0%91%D0%B0%D1%80%D1%8B%D1%88%D0%BD%D1%8F-%D0%BA%D1%80%D0%B5%D1%81%D1%82%D1%8C%D1%8F%D0%BD%D0%BA%D0%B0
5;А.;С.;Пушкин;Цветок;0;1;ru.wikisource.org/wiki/%D0%A6%D0%B2%D0%B5%D1%82%D0%BE%D0%BA_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
6;А.;С.;Пушкин;Бесы;0;1;ru.wikisource.org/wiki/%D0%91%D0%B5%D1%81%D1%8B_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
7;А.;С.;Пушкин;Я помню чудное мгновенье;0;1;ru.wikisource.org/wiki/%D0%9A_***_%D0%9A%D0%B5%D1%80%D0%BD_(%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD)
8;А.;С.;Пушкин;Зимнее утро;0;1;ru.wikisource.org/wiki/%D0%97%D0%B8%D0%BC%D0%BD%D0%B5%D0%B5_%D1%83%D1%82%D1%80%D0%BE
9;А.;С.;Пушкин;Станционный смотритель;0;1;ru.wikisource.org/wiki/%D0%A1%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D1%8B%D0%B9_%D1%81%D0%BC%D0%BE%D1%82%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C
