,Litres,PDF,Wiki,Имя,Название,Отчество,Ссылка,Фамилия,Short name,Score
0,0,0,1,,"Помню, я ещё младшенька была…",,"ru.wikisource.org/wiki/%D0%9F%D0%BE%D0%BC%D0%BD%D1%8E,_%D1%8F_%D0%B5%D1%89%D1%91_%D0%BC%D0%BB%D0%B0%D0%B4%D1%88%D0%B5%D0%BD%D1%8C%D0%BA%D0%B0_%D0%B1%D1%8B%D0%BB%D0%B0",Устное народное творчество,,1
1,0,0,1,,"Ай вы, ветры, ветры буйные…",,"ru.wikisource.org/wiki/%D0%90%D0%B9_%D0%B2%D1%8B,_%D0%B2%D0%B5%D1%82%D1%80%D1%8B,_%D0%B2%D0%B5%D1%82%D1%80%D1%8B_%D0%B1%D1%83%D0%B9%D0%BD%D1%8B%D0%B5",Устное народное творчество,,1
2,0,0,1,Исторические,Ермак готовится к походу на Сибирь,,ru.wikisource.org/wiki/%D0%95%D1%80%D0%BC%D0%B0%D0%BA_%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%B8%D1%82%D1%81%D1%8F_%D0%BA_%D0%BF%D0%BE%D1%85%D0%BE%D0%B4%D1%83_%D0%BD%D0%B0_%D0%A1%D0%B8%D0%B1%D0%B8%D1%80%D1%8C,песни,И,1
3,0,0,1,Исторические,Пугачёв в темнице,,ru.wikisource.org/wiki/%D0%9F%D1%83%D0%B3%D0%B0%D1%87%D1%91%D0%B2_%D0%B2_%D1%82%D0%B5%D0%BC%D0%BD%D0%B8%D1%86%D0%B5,песни,И,1
4,0,0,1,,Два Ивана —  солдатских сына,,ru.wikisource.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B5_%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D0%BA%D0%B0%D0%B7%D0%BA%D0%B8_(%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2)/%D0%94%D0%B2%D0%B0_%D0%98%D0%B2%D0%B0%D0%BD%D0%B0_%D1%81%D0%BE%D0%BB%D0%B4%D0%B0%D1%82%D1%81%D0%BA%D0%B8%D1%85_%D1%81%D1%8B%D0%BD%D0%B0,Русские народные сказки,,1
5,0,0,1,,Финист — Ясный Сокол,,ru.wikisource.org/wiki/%D0%A4%D0%B8%D0%BD%D0%B8%D1%81%D1%82_%E2%80%94_%D0%AF%D1%81%D0%BD%D1%8B%D0%B9_%D0%A1%D0%BE%D0%BA%D0%BE%D0%BB,Русские народные сказки,,1
6,0,0,1,,Царевна-лягушка,,ru.wikisource.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B5_%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D0%BA%D0%B0%D0%B7%D0%BA%D0%B8_(%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2)/%D0%A6%D0%B0%D1%80%D0%B5%D0%B2%D0%BD%D0%B0-%D0%BB%D1%8F%D0%B3%D1%83%D1%88%D0%BA%D0%B0,Русские народные сказки,,1
7,0,0,1,,Марья Моревна,,ru.wikisource.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B5_%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D0%BA%D0%B0%D0%B7%D0%BA%D0%B8_(%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2)/%D0%9C%D0%B0%D1%80%D1%8C%D1%8F_%D0%9C%D0%BE%D1%80%D0%B5%D0%B2%D0%BD%D0%B0,Русские народные сказки,,1
8,0,0,1,,Бой на Калиновом мосту,,ru.wikisource.org/wiki/%D0%91%D0%BE%D0%B9_%D0%BD%D0%B0_%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%BE%D0%B2%D0%BE%D0%BC_%D0%BC%D0%BE%D1%81%D1%82%D1%83,Русские народные сказки,,1
9,0,0,1,,Каша из топора,,ru.wikisource.org/wiki/%D0%9A%D0%B0%D1%88%D0%B0_%D0%B8%D0%B7_%D1%82%D0%BE%D0%BF%D0%BE%D1%80%D0%B0,Русские народные сказки,,1
