,Unnamed: 0,Litres,PDF,Wiki,Имя,Short name,Отчество,Фамилия,Название,Ссылка,Score,Авт. Права,Дата смерти,Wiki id,Авт. права wiki
0,0,0,0,1,,,,Устное народное творчество,"Помню, я ещё младшенька была…","ru.wikisource.org/wiki/%D0%9F%D0%BE%D0%BC%D0%BD%D1%8E,_%D1%8F_%D0%B5%D1%89%D1%91_%D0%BC%D0%BB%D0%B0%D0%B4%D1%88%D0%B5%D0%BD%D1%8C%D0%BA%D0%B0_%D0%B1%D1%8B%D0%BB%D0%B0",1,1,,Q36192,1
1,1,0,0,1,,,,Устное народное творчество,"Ай вы, ветры, ветры буйные…","ru.wikisource.org/wiki/%D0%90%D0%B9_%D0%B2%D1%8B,_%D0%B2%D0%B5%D1%82%D1%80%D1%8B,_%D0%B2%D0%B5%D1%82%D1%80%D1%8B_%D0%B1%D1%83%D0%B9%D0%BD%D1%8B%D0%B5",1,1,,Q36192,1
2,2,0,0,1,Исторические,И,,песни,Ермак готовится к походу на Сибирь,ru.wikisource.org/wiki/%D0%95%D1%80%D0%BC%D0%B0%D0%BA_%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%B8%D1%82%D1%81%D1%8F_%D0%BA_%D0%BF%D0%BE%D1%85%D0%BE%D0%B4%D1%83_%D0%BD%D0%B0_%D0%A1%D0%B8%D0%B1%D0%B8%D1%80%D1%8C,1,1,,Q48952271,1
3,3,0,0,1,Исторические,И,,песни,Пугачёв в темнице,ru.wikisource.org/wiki/%D0%9F%D1%83%D0%B3%D0%B0%D1%87%D1%91%D0%B2_%D0%B2_%D1%82%D0%B5%D0%BC%D0%BD%D0%B8%D1%86%D0%B5,1,1,,Q48952271,1
4,4,0,0,1,,,,Русские народные сказки,Два Ивана —  солдатских сына,ru.wikisource.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B5_%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D0%BA%D0%B0%D0%B7%D0%BA%D0%B8_(%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2)/%D0%94%D0%B2%D0%B0_%D0%98%D0%B2%D0%B0%D0%BD%D0%B0_%D1%81%D0%BE%D0%BB%D0%B4%D0%B0%D1%82%D1%81%D0%BA%D0%B8%D1%85_%D1%81%D1%8B%D0%BD%D0%B0,1,1,,Q4400636,1
5,5,0,0,1,,,,Русские народные сказки,Финист — Ясный Сокол,ru.wikisource.org/wiki/%D0%A4%D0%B8%D0%BD%D0%B8%D1%81%D1%82_%E2%80%94_%D0%AF%D1%81%D0%BD%D1%8B%D0%B9_%D0%A1%D0%BE%D0%BA%D0%BE%D0%BB,1,1,,Q4400636,1
6,6,0,0,1,,,,Русские народные сказки,Царевна-лягушка,ru.wikisource.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B5_%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D0%BA%D0%B0%D0%B7%D0%BA%D0%B8_(%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2)/%D0%A6%D0%B0%D1%80%D0%B5%D0%B2%D0%BD%D0%B0-%D0%BB%D1%8F%D0%B3%D1%83%D1%88%D0%BA%D0%B0,1,1,,Q4400636,1
7,7,0,0,1,,,,Русские народные сказки,Марья Моревна,ru.wikisource.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B5_%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D0%BA%D0%B0%D0%B7%D0%BA%D0%B8_(%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2)/%D0%9C%D0%B0%D1%80%D1%8C%D1%8F_%D0%9C%D0%BE%D1%80%D0%B5%D0%B2%D0%BD%D0%B0,1,1,,Q4400636,1
8,8,0,0,1,,,,Русские народные сказки,Бой на Калиновом мосту,ru.wikisource.org/wiki/%D0%91%D0%BE%D0%B9_%D0%BD%D0%B0_%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%BE%D0%B2%D0%BE%D0%BC_%D0%BC%D0%BE%D1%81%D1%82%D1%83,1,1,,Q4400636,1
9,9,0,0,1,,,,Русские народные сказки,Каша из топора,ru.wikisource.org/wiki/%D0%9A%D0%B0%D1%88%D0%B0_%D0%B8%D0%B7_%D1%82%D0%BE%D0%BF%D0%BE%D1%80%D0%B0,1,1,,Q4400636,1
10,10,0,0,1,,,,Русские народные сказки,Василиса Прекрасная,ru.wikisource.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B5_%D1%80%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D0%BA%D0%B0%D0%B7%D0%BA%D0%B8_(%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2)/%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D1%81%D0%B0_%D0%9F%D1%80%D0%B5%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%B0%D1%8F,1,1,,Q4400636,1
11,11,0,0,1,,,,Былины,Вольга и Микула Селянович,ru.wikisource.org/wiki/%D0%92%D0%BE%D0%BB%D1%8C%D0%B3%D0%B0_%D0%B8_%D0%9C%D0%B8%D0%BA%D1%83%D0%BB%D0%B0_%D0%A1%D0%B5%D0%BB%D1%8F%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,1,1,,Q546440,1
12,12,0,0,1,,,,Былины,Илья Муромец и Соловей-разбойник,ru.wikisource.org/wiki/%D0%98%D0%BB%D1%8C%D1%8F_%D0%9C%D1%83%D1%80%D0%BE%D0%BC%D0%B5%D1%86_%D0%B8_%D0%A1%D0%BE%D0%BB%D0%BE%D0%B2%D0%B5%D0%B9-%D1%80%D0%B0%D0%B7%D0%B1%D0%BE%D0%B9%D0%BD%D0%B8%D0%BA,1,1,,Q546440,1
13,13,0,0,1,,,,Былины,Садко,ru.wikisource.org/wiki/%D0%A1%D0%B0%D0%B4%D0%BA%D0%BE,1,1,,Q546440,1
